TransactionID,UserID,RecipientID,Amount,Type,Date,UtilityType
1,428,241,14.59,P2P,13-04-24,
2,277,488,178.23,P2P,23-08-24,
3,333,400,478.86,P2P,01-12-24,
4,21,487,127.41,P2P,01-12-24,
5,430,319,80.43,P2P,03-03-24,
6,65,,140.5,Utility,08-01-25,Water
7,486,239,351.24,P2P,10-08-24,
8,393,,50.2,Utility,19-04-24,Water
9,494,4,780.01,Merchant,11-11-24,
10,84,,39.46,Utility,02-01-25,Electricity
11,476,,123.64,Utility,21-06-24,Gas
12,204,7,85.24,Merchant,02-10-24,
13,354,8,110.88,Merchant,29-08-24,
14,396,,173.05,Utility,29-09-24,Water
15,413,408,492,P2P,08-03-24,
16,401,178,268.71,P2P,06-09-24,
17,339,,32.41,Utility,25-04-24,Water
18,175,435,212.93,P2P,19-11-24,
19,251,222,480.59,P2P,05-05-24,
20,326,,147.32,Utility,26-05-24,Gas
21,91,17,965.82,Merchant,15-05-24,
22,139,18,776.9,Merchant,29-02-24,
23,239,,168.63,Utility,15-02-24,Water
24,138,,173.31,Utility,21-06-24,Electricity
25,143,,63.9,Utility,26-06-24,Gas
26,292,13,343.03,Merchant,29-07-24,
27,254,,52.73,Utility,12-03-24,Electricity
28,182,,81.26,Utility,25-08-24,Water
29,360,,120.04,Utility,24-07-24,Water
30,486,44,124.47,P2P,16-09-24,
31,209,,119.93,Utility,22-12-24,Electricity
32,354,,136.26,Utility,10-11-24,Gas
33,230,48,150.65,P2P,31-03-24,
34,208,8,313.14,Merchant,29-12-24,
35,298,,105.19,Utility,24-03-24,Water
36,177,,199.39,Utility,20-12-24,Water
37,170,,146.51,Utility,09-07-24,Gas
38,157,,61.5,Utility,21-01-24,Water
39,99,,41.52,Utility,19-03-24,Water
40,487,6,199.63,Merchant,01-03-24,
41,379,,69.77,Utility,25-06-24,Water
42,390,20,290.17,Merchant,26-04-24,
43,52,152,117.6,P2P,07-11-24,
44,92,,22.55,Utility,17-08-24,Water
45,65,,28.19,Utility,17-10-24,Electricity
46,284,,145.54,Utility,10-01-25,Electricity
47,327,,38.47,Utility,15-07-24,Electricity
48,294,,104.49,Utility,29-10-24,Gas
49,175,495,30.43,P2P,23-02-24,
50,482,,40.54,Utility,04-03-24,Electricity
51,206,,33.33,Utility,17-12-24,Water
52,352,78,78.85,P2P,28-01-24,
53,289,,35.33,Utility,03-12-24,Electricity
54,61,14,610.25,Merchant,30-06-24,
55,405,8,777.94,Merchant,10-04-25,
56,195,,183.53,Utility,08-10-24,Gas
57,441,14,312.33,Merchant,19-03-24,
58,318,313,480.25,P2P,12-02-24,
59,51,321,109.46,P2P,06-03-24,
60,339,81,123.73,P2P,01-08-24,
61,283,81,6.32,P2P,16-12-24,
62,231,20,475.21,Merchant,07-08-24,
63,17,148,354.94,P2P,05-01-25,
64,360,,32.81,Utility,13-06-24,Electricity
65,474,,161.81,Utility,31-12-24,Water
66,302,7,430.89,Merchant,27-06-24,
67,279,332,78.75,P2P,31-05-24,
68,137,37,34.52,P2P,04-03-24,
69,406,,127.11,Utility,19-06-24,Water
70,472,,99.05,Utility,11-10-24,Gas
71,353,,145.95,Utility,18-08-24,Gas
72,257,16,443.38,Merchant,17-04-24,
73,307,456,218.85,P2P,17-10-24,
74,166,9,35.61,Merchant,07-05-24,
75,118,19,591.25,Merchant,01-03-24,
76,11,9,580.48,Merchant,24-05-24,
77,391,241,261.89,P2P,28-12-24,
78,227,,52.67,Utility,30-11-24,Water
79,224,16,969.36,Merchant,28-12-24,
80,241,,93.5,Utility,24-05-24,Gas
81,344,440,84.61,P2P,31-08-24,
82,211,16,295.34,Merchant,07-09-24,
83,484,,166.44,Utility,10-09-24,Water
84,19,,35.85,Utility,25-02-24,Gas
85,166,497,387.41,P2P,21-10-24,
86,443,1,661.08,Merchant,01-02-24,
87,278,,94.38,Utility,12-02-24,Electricity
88,266,,132.07,Utility,27-10-24,Gas
89,321,,156.8,Utility,06-01-25,Electricity
90,137,5,928.4,Merchant,31-05-24,
91,225,16,130.21,Merchant,07-07-24,
92,499,20,801.32,Merchant,02-01-25,
93,364,160,277.67,P2P,21-06-24,
94,283,,36.78,Utility,15-09-24,Electricity
95,237,332,416.91,P2P,07-07-24,
96,256,10,513.78,Merchant,28-10-24,
97,140,,170.25,Utility,04-12-24,Gas
98,125,,119.23,Utility,02-07-24,Gas
99,98,17,748.83,Merchant,06-05-24,
100,70,142,387.47,P2P,04-11-24,
101,438,,81.18,Utility,18-07-24,Water
102,137,145,364.4,P2P,12-10-24,
103,429,19,998.91,Merchant,07-03-24,
104,251,229,271.6,P2P,25-10-24,
105,177,,119.35,Utility,26-03-24,Water
106,194,,187.91,Utility,22-10-24,Electricity
107,358,293,194.57,P2P,07-11-24,
108,439,,27.86,Utility,30-08-24,Water
109,243,13,392.22,Merchant,04-01-25,
110,340,5,500.38,Merchant,28-11-24,
111,19,258,482.85,P2P,12-01-25,
112,170,448,423.29,P2P,30-07-24,
113,52,15,25.19,Merchant,16-02-24,
114,74,,176.77,Utility,14-03-24,Electricity
115,39,,160.67,Utility,27-12-24,Gas
116,174,13,653.34,Merchant,18-01-24,
117,437,,173.42,Utility,01-09-24,Water
118,195,,132.82,Utility,01-09-24,Gas
119,447,2,621.28,Merchant,06-06-24,
120,121,10,997.45,Merchant,02-10-24,
121,383,223,489.28,P2P,23-09-24,
122,390,4,449.24,Merchant,09-07-24,
123,356,,182.62,Utility,10-06-24,Electricity
124,167,151,182.44,P2P,18-05-24,
125,221,126,267.93,P2P,03-07-24,
126,290,6,178.28,Merchant,23-03-24,
127,41,13,623.51,Merchant,30-07-24,
128,124,,184.31,Utility,21-10-24,Electricity
129,119,,134.82,Utility,30-08-24,Gas
130,131,1,899.92,Merchant,02-05-24,
131,239,,141.97,Utility,10-11-24,Electricity
132,38,,190.14,Utility,21-02-24,Water
133,154,14,693.41,Merchant,14-04-24,
134,234,,55.86,Utility,09-05-24,Gas
135,437,,39.2,Utility,24-07-24,Gas
136,293,,123.47,Utility,26-05-24,Water
137,152,425,330.82,P2P,02-02-24,
138,141,290,433.21,P2P,21-08-24,
139,399,2,911.51,Merchant,03-08-24,
140,382,,169.91,Utility,28-12-24,Gas
141,398,311,401.96,P2P,05-08-24,
142,113,7,624.68,Merchant,27-08-24,
143,348,5,631.97,Merchant,30-07-24,
144,463,2,315.84,Merchant,07-12-24,
145,226,297,185.61,P2P,09-01-25,
146,68,466,151.08,P2P,28-06-24,
147,383,,51.62,Utility,04-05-24,Electricity
148,403,12,535.54,Merchant,19-05-24,
149,468,,169.49,Utility,12-06-24,Gas
150,468,,194.13,Utility,17-05-24,Gas
151,383,,164.76,Utility,04-11-24,Gas
152,494,73,378.3,P2P,24-03-24,
153,116,13,967.6,Merchant,10-03-24,
154,412,12,99.4,Merchant,31-01-24,
155,203,136,270.6,P2P,26-11-24,
156,233,,141.11,Utility,26-10-24,Water
157,135,13,824.19,Merchant,22-12-24,
158,482,,39.5,Utility,24-10-24,Electricity
159,242,318,442.7,P2P,05-04-24,
160,288,,184.75,Utility,30-06-24,Electricity
161,332,326,412.81,P2P,03-08-24,
162,466,10,652.75,Merchant,02-05-24,
163,60,24,473.4,P2P,25-08-24,
164,156,,40.9,Utility,21-12-24,Electricity
165,455,5,394.76,Merchant,10-09-24,
166,190,18,424.94,Merchant,16-05-24,
167,381,5,886.56,Merchant,22-02-24,
168,336,427,247.23,P2P,28-05-24,
169,209,,25.89,Utility,04-05-24,Gas
170,112,,100.05,Utility,19-03-24,Electricity
171,438,,37.88,Utility,01-03-24,Water
172,189,12,69.94,Merchant,05-05-24,
173,142,496,65.47,P2P,30-04-24,
174,435,,36.5,Utility,21-07-24,Electricity
175,329,20,971.38,Merchant,03-07-24,
176,26,,63.84,Utility,10-04-24,Electricity
177,403,7,77.92,Merchant,23-12-24,
178,392,7,590.52,Merchant,20-03-24,
179,417,169,388.31,P2P,06-05-24,
180,404,1,284.5,Merchant,13-01-25,
181,75,277,129.07,P2P,05-01-25,
182,90,339,433.89,P2P,24-04-24,
183,68,184,396.04,P2P,06-09-24,
184,122,11,25.62,Merchant,02-11-24,
185,136,65,372.15,P2P,25-02-24,
186,270,382,36.46,P2P,08-01-25,
187,230,,112.38,Utility,13-04-24,Electricity
188,232,8,945.96,Merchant,29-09-24,
189,23,17,308.61,Merchant,02-05-24,
190,330,32,499.3,P2P,09-03-24,
191,434,,96.73,Utility,21-02-24,Electricity
192,252,15,82.76,Merchant,04-04-24,
193,42,,129.49,Utility,16-08-24,Electricity
194,65,,132.38,Utility,05-12-24,Water
195,281,11,387.1,Merchant,30-07-24,
196,306,10,459.18,Merchant,03-11-24,
197,310,,37.85,Utility,20-03-24,Water
198,59,18,723.63,Merchant,22-12-25,
199,111,,101.28,Utility,03-09-24,Electricity
200,212,,168.94,Utility,30-12-24,Gas
201,213,4,319.42,Merchant,30-01-24,
202,161,9,380.56,Merchant,25-12-24,
203,79,16,76.46,Merchant,11-08-24,
204,426,48,218.78,P2P,10-08-24,
205,382,12,813.65,Merchant,20-11-24,
206,285,301,478.53,P2P,30-03-24,
207,288,,140.6,Utility,17-01-24,Gas
208,182,14,869.41,Merchant,22-07-24,
209,370,496,147.38,P2P,03-12-24,
210,160,,38.65,Utility,29-11-24,Water
211,109,337,243.68,P2P,25-01-24,
212,434,180,423.46,P2P,06-06-24,
213,189,391,142.89,P2P,02-04-24,
214,116,,172.13,Utility,03-05-24,Water
215,315,18,35.99,Merchant,14-01-25,
216,476,9,38.66,Merchant,23-08-24,
217,140,10,922.32,Merchant,28-06-24,
218,180,93,435.58,P2P,25-10-24,
219,290,13,78.89,Merchant,05-07-24,
220,380,1,100.84,Merchant,04-08-24,
221,272,193,212.82,P2P,04-03-24,
222,175,190,159.26,P2P,02-12-24,
223,167,20,94.11,Merchant,09-07-24,
224,27,81,378.45,P2P,08-05-24,
225,26,3,279.38,Merchant,05-01-25,
226,339,,107.42,Utility,26-02-24,Gas
227,213,,58.8,Utility,19-10-24,Water
228,59,,97.38,Utility,15-10-24,Gas
229,348,19,491.77,Merchant,05-01-25,
230,342,,28.18,Utility,08-12-24,Gas
231,307,4,106.19,P2P,01-03-24,
232,485,393,72.93,P2P,05-07-24,
233,131,,79.06,Utility,25-12-24,Electricity
234,255,14,183.94,Merchant,30-06-24,
235,195,8,505.26,Merchant,24-07-24,
236,427,12,81.35,Merchant,26-04-24,
237,442,2,441.86,Merchant,17-02-24,
238,236,442,159.97,P2P,15-12-24,
239,220,13,712.4,Merchant,08-03-24,
240,214,,40.73,Utility,02-05-24,Electricity
241,495,,50.94,Utility,25-10-24,Water
242,236,12,97.25,Merchant,30-09-24,
243,433,125,220.66,P2P,29-02-24,
244,206,3,401.81,Merchant,31-05-24,
245,159,11,229.36,Merchant,22-11-24,
246,399,40,257.69,P2P,14-02-24,
247,59,17,201.96,Merchant,30-10-24,
248,398,,83.2,Utility,18-11-24,Water
249,418,121,55.89,P2P,10-04-24,
250,132,89,303.19,P2P,23-10-24,
251,390,3,185.37,Merchant,12-02-24,
252,396,16,469.31,Merchant,21-05-24,
253,289,15,684.32,Merchant,15-03-24,
254,452,20,329.98,Merchant,29-07-24,
255,498,11,159.45,Merchant,24-05-24,
256,35,,99.6,Utility,01-05-24,Gas
257,408,,126.46,Utility,09-07-24,Gas
258,260,159,233.56,P2P,15-09-24,
259,20,189,416.69,P2P,26-10-24,
260,40,3,618.86,Merchant,01-08-24,
261,260,,103.29,Utility,02-10-24,Water
262,489,2,455.24,Merchant,11-11-24,
263,415,7,328.31,Merchant,12-02-24,
264,244,5,958.15,Merchant,15-10-24,
265,231,416,450.07,P2P,08-10-24,
266,176,3,509.5,Merchant,16-05-24,
267,89,127,355.27,P2P,26-12-24,
268,225,17,613.71,Merchant,08-01-25,
269,187,,185.23,Utility,29-01-24,Gas
270,210,,142.2,Utility,01-07-24,Electricity
271,405,11,75.25,Merchant,23-02-24,
272,49,13,291.31,Merchant,11-01-25,
273,371,20,874.55,Merchant,14-10-24,
274,171,299,333.49,P2P,18-11-24,
275,470,,75.84,Utility,04-08-24,Water
276,358,13,137.66,Merchant,17-05-24,
277,363,159,281.67,P2P,28-03-24,
278,330,,166.37,Utility,06-12-24,Water
279,360,17,102.52,Merchant,18-08-24,
280,344,,111.53,Utility,27-09-24,Electricity
281,186,,52.45,Utility,05-12-24,Electricity
282,175,,54.56,Utility,20-12-24,Electricity
283,80,152,422.99,P2P,14-09-24,
284,52,18,836.77,Merchant,28-01-24,
285,453,2,665.31,Merchant,17-09-24,
286,449,5,601.27,Merchant,14-09-24,
287,79,93,416.52,P2P,18-01-24,
288,395,6,723.97,Merchant,19-04-24,
289,23,,85.57,Utility,08-03-24,Water
290,122,,129.91,Utility,29-08-24,Water
291,402,,62.12,Utility,09-06-24,Electricity
292,159,,182.72,Utility,18-12-24,Electricity
293,189,19,984.6,Merchant,09-04-24,
294,237,,160.06,Utility,02-10-24,Water
295,271,,193.93,Utility,30-03-24,Electricity
296,411,5,874.27,Merchant,27-04-24,
297,27,16,875.38,Merchant,15-07-24,
298,284,365,423.72,P2P,13-03-24,
299,436,146,46.52,P2P,21-07-24,
300,83,,100.88,Utility,26-11-24,Water
301,76,,36.51,Utility,27-03-24,Electricity
302,419,,179.23,Utility,25-10-24,Electricity
303,213,203,253.49,P2P,25-07-24,
304,121,,199.01,Utility,03-05-24,Gas
305,115,164,465.76,P2P,06-03-24,
306,430,11,793.47,Merchant,01-04-24,
307,71,147,459.11,P2P,17-09-24,
308,242,5,761.25,Merchant,20-12-24,
309,241,,130.76,Utility,18-02-24,Electricity
310,10,,58.82,Utility,02-08-24,Electricity
311,281,20,532.49,Merchant,12-12-24,
312,57,,62.78,Utility,21-10-24,Electricity
313,25,,321.28,P2P,01-11-24,
314,319,,31.31,Utility,07-04-24,Gas
315,306,1,635.64,Merchant,16-01-24,
316,295,368,76.07,P2P,01-07-24,
317,220,315,179.64,P2P,10-02-24,
318,293,,53.72,Utility,23-07-24,Water
319,44,12,77,Merchant,18-08-24,
320,270,17,788.55,Merchant,08-09-24,
321,260,1,396.55,Merchant,04-04-24,
322,241,326,196.51,P2P,16-10-24,
323,192,,154.52,Utility,24-03-24,Gas
324,404,177,124.36,P2P,30-01-24,
325,337,4,773.79,Merchant,25-06-24,
326,377,,44.01,Utility,08-10-24,Gas
327,280,,166.43,Utility,26-04-24,Electricity
328,426,15,981.01,Merchant,09-09-24,
329,246,6,813.38,Merchant,10-06-24,
330,33,15,46.61,Merchant,16-09-24,
331,104,406,103.74,P2P,28-08-24,
332,22,,188.01,Utility,15-04-24,Water
333,204,16,260.78,Merchant,18-09-24,
334,386,7,293.25,Merchant,29-05-24,
335,442,444,329.59,P2P,21-07-24,
336,140,410,187.17,P2P,08-08-24,
337,456,,153.8,Utility,26-09-24,Gas
338,174,255,347.57,P2P,24-03-24,
339,189,9,803.14,Merchant,20-12-24,
340,373,,34.21,Utility,10-05-24,Water
341,422,280,150.41,P2P,06-12-24,
342,53,168,332.16,P2P,14-04-24,
343,157,,128.47,Utility,19-12-24,Gas
344,86,15,358.03,Merchant,07-05-24,
345,22,12,618.7,Merchant,30-09-24,
346,223,,135.1,Utility,21-07-24,Electricity
347,39,13,369.68,Merchant,23-07-24,
348,411,6,953.26,Merchant,19-11-24,
349,74,15,44.45,Merchant,15-09-24,
350,35,399,324.36,P2P,15-06-24,
351,186,,190.9,Utility,03-09-24,Electricity
352,310,348,227.71,P2P,01-06-24,
353,190,,99.91,Utility,13-08-24,Electricity
354,294,272,186.64,P2P,19-07-24,
355,161,9,257.12,Merchant,08-05-24,
356,59,377,97.09,P2P,21-02-24,
357,266,,184.44,Utility,09-04-24,Electricity
358,135,,146.73,Utility,27-02-24,Electricity
359,314,,144.92,Utility,22-12-24,Gas
360,103,70,427.15,P2P,28-12-24,
361,232,461,358.12,P2P,03-11-24,
362,45,11,671.16,Merchant,06-11-24,
363,364,282,273.37,P2P,05-05-24,
364,457,,173.25,Utility,25-06-24,Water
365,364,6,795.76,Merchant,06-07-24,
366,261,63,492.64,P2P,20-05-24,
367,406,122,396.23,P2P,20-04-24,
368,14,,119.72,Utility,28-09-24,Gas
369,240,5,615.83,Merchant,28-06-24,
370,45,159,202.09,P2P,28-02-24,
371,368,16,530.44,Merchant,23-03-24,
372,394,,168.2,Utility,13-07-24,Electricity
373,65,,135.62,Utility,17-05-24,Gas
374,239,17,351.07,Merchant,27-09-24,
375,450,19,190.14,Merchant,28-02-24,
376,495,222,253.92,P2P,28-05-24,
377,445,426,66.46,P2P,11-10-24,
378,79,,49.64,Utility,17-06-24,Gas
379,479,8,352.56,Merchant,14-10-24,
380,482,10,847.47,Merchant,04-03-24,
381,129,326,478.39,P2P,10-11-24,
382,141,321,154.9,P2P,22-12-24,
383,274,258,322.29,P2P,20-07-24,
384,304,5,179.49,Merchant,06-12-24,
385,320,20,344.24,Merchant,22-11-24,
386,474,2,826.98,Merchant,15-12-24,
387,15,24,474.53,P2P,22-07-24,
388,395,9,654.62,Merchant,04-09-24,
389,393,14,621.93,Merchant,23-06-24,
390,16,,180.02,Utility,07-10-24,Water
391,149,10,488.12,Merchant,15-04-24,
392,413,13,304.46,Merchant,26-01-24,
393,38,2,166.5,Merchant,06-05-24,
394,213,,103.6,Utility,28-04-24,Gas
395,311,161,431.44,P2P,30-07-24,
396,164,12,975.62,Merchant,07-04-24,
397,67,,112.7,Utility,25-12-24,Electricity
398,164,239,65.65,P2P,10-12-24,
399,231,73,52.92,P2P,14-11-24,
400,149,,175.55,Utility,21-06-24,Gas
401,128,417,167.08,P2P,07-02-24,
402,296,11,197.94,Merchant,20-08-24,
403,82,,199.27,Utility,09-11-24,Gas
404,256,,109.53,Utility,19-05-24,Electricity
405,484,,110.98,Utility,25-04-24,Electricity
406,111,12,58.17,Merchant,03-10-24,
407,145,,127.55,Utility,17-05-24,Water
408,345,,71.43,Utility,22-06-24,Electricity
409,434,221,71.3,P2P,14-06-24,
410,136,12,766.22,Merchant,24-11-24,
411,188,206,30.32,P2P,04-07-24,
412,288,186,278.85,P2P,28-06-24,
413,38,,110.77,Utility,17-06-24,Water
414,144,,127.62,Merchant,25-04-24,
415,500,202,189.73,P2P,03-01-25,
416,174,12,757.42,Merchant,05-02-24,
417,102,17,407.37,Merchant,28-04-24,
418,21,20,72.83,P2P,21-07-24,
419,171,,113.48,Utility,23-10-24,Electricity
420,311,5,334.69,Merchant,09-04-24,
421,314,,49.25,Utility,25-05-24,Water
422,379,,126.87,Utility,18-09-24,Water
423,425,18,494.95,Merchant,27-11-24,
424,289,,105.48,Utility,01-02-24,Electricity
425,189,,141.29,Utility,13-05-24,Gas
426,299,,163.42,Utility,06-07-24,Water
427,447,1,600.94,Merchant,22-06-24,
428,136,19,581.86,Merchant,09-04-24,
429,370,299,242.82,P2P,24-08-24,
430,269,20,776.86,Merchant,20-12-24,
431,195,421,341.96,P2P,19-03-24,
432,17,4,198.88,Merchant,10-08-24,
433,226,,95.38,Utility,04-04-24,Gas
434,354,211,253.4,P2P,12-11-24,
435,314,,177.11,Utility,13-09-24,Water
436,373,362,73.35,P2P,26-02-24,
437,107,11,998.14,Merchant,09-09-24,
438,245,13,320.62,Merchant,08-09-24,
439,89,,184.18,Utility,22-05-24,Gas
440,280,,141.66,Utility,05-03-24,Water
441,349,9,613.98,Merchant,05-09-24,
442,99,143,281.25,P2P,11-08-24,
443,116,,158.81,Utility,22-01-24,Water
444,107,16,323.87,Merchant,21-10-24,
445,179,9,294.91,Merchant,23-01-24,
446,294,18,385.9,Merchant,21-11-24,
447,203,,191.83,Utility,10-06-24,Electricity
448,149,148,477.88,P2P,19-02-24,
449,41,,186.32,Utility,13-11-24,Water
450,132,16,221.85,Merchant,14-10-24,
451,424,9,933.69,Merchant,23-05-24,
452,357,,44.71,Utility,03-01-25,Water
453,380,8,250.03,Merchant,30-05-24,
454,343,8,641.57,Merchant,07-11-24,
455,27,212,168.5,P2P,07-11-24,
456,242,349,386.53,P2P,16-08-24,
457,3,6,412.84,Merchant,08-02-24,
458,479,,105.94,Utility,25-09-24,Electricity
459,388,,77.81,Utility,03-02-24,Water
460,31,334,289.2,P2P,03-08-24,
461,274,2,914.1,Merchant,05-04-24,
462,90,,178.8,Utility,03-06-24,Electricity
463,479,429,201.51,P2P,09-08-24,
464,254,480,375.76,P2P,01-04-24,
465,447,,177.81,Utility,15-03-24,Electricity
466,153,20,116.23,Merchant,05-12-24,
467,172,,101.78,Utility,10-08-24,Water
468,279,16,890.37,Merchant,16-06-24,
469,69,15,280.11,Merchant,13-12-24,
470,415,170,85.43,P2P,19-10-24,
471,235,9,721.41,Merchant,13-04-24,
472,8,11,792.86,Merchant,06-05-24,
473,291,7,183.74,Merchant,21-11-24,
474,439,13,828.72,Merchant,17-03-24,
475,264,,35.61,Utility,02-01-25,Water
476,49,72,241.34,P2P,08-06-24,
477,480,4,134.09,P2P,22-05-24,
478,121,,155.68,Utility,23-06-24,Gas
479,155,19,21.32,Merchant,07-04-24,
480,335,,144.7,Utility,16-08-24,Electricity
481,342,239,156.87,P2P,25-10-24,
482,208,17,923.87,Merchant,20-04-24,
483,455,10,693.39,Merchant,14-01-25,
484,328,,86.16,Utility,20-01-24,Electricity
485,113,245,80.83,P2P,29-01-24,
486,383,12,421.69,Merchant,08-12-24,
487,282,,156.32,Utility,22-01-24,Water
488,423,391,127.5,P2P,03-11-24,
489,387,3,530.25,Merchant,14-01-25,
490,271,12,87.32,Merchant,06-08-24,
491,289,32,415.24,P2P,23-02-24,
492,463,7,576.97,Merchant,27-07-24,
493,77,168,427.97,P2P,17-06-24,
494,227,349,106.67,P2P,17-11-24,
495,299,,36.37,Utility,21-07-24,Water
496,229,233,70.31,P2P,31-01-24,
497,213,,121.5,Utility,15-03-24,Water
498,237,10,726.05,Merchant,03-05-24,
499,203,,166.96,Utility,11-05-24,Water
500,112,3,54.84,Merchant,24-01-24,
501,177,3,545.75,Merchant,13-04-24,
502,31,479,238.68,P2P,16-09-24,
503,147,,52.4,Utility,09-11-24,Electricity
504,393,14,380.72,Merchant,08-10-24,
505,457,,100.74,Utility,20-04-24,Gas
506,193,350,482.25,P2P,28-01-24,
